Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks)
Process-1,5,296,296,299,1,3,2
Process-2,3,90,90,112,8,22,14
Process-3,4,623,623,629,6,6,0
Process-4,4,155,155,157,2,2,0
Process-5,2,932,932,939,7,7,0
Process-6,2,761,761,771,10,10,0
Process-7,1,685,685,694,9,9,0
Process-8,5,423,423,484,9,61,52
Process-9,5,491,491,494,1,3,2
Process-10,4,943,943,945,2,2,0
Process-11,4,345,345,348,3,3,0
Process-12,5,563,563,571,8,8,0
Process-13,1,614,614,622,8,8,0
Process-14,1,173,173,188,7,15,8
Process-15,4,382,382,388,6,6,0
Process-16,2,29,29,30,1,1,0
Process-17,1,206,206,212,3,6,3
Process-18,1,60,60,64,4,4,0
Process-19,4,506,506,515,9,9,0
Process-20,1,172,172,181,9,9,0
Process-21,4,843,843,847,4,4,0
Process-22,4,860,860,861,1,1,0
Process-23,4,472,472,481,7,9,2
Process-24,3,890,890,892,2,2,0
Process-25,3,632,632,638,6,6,0
Process-26,5,843,843,857,3,14,11
Process-27,4,903,903,914,6,11,5
Process-28,2,229,229,246,7,17,10
Process-29,5,178,178,293,7,115,108
Process-30,3,828,828,843,4,15,11
Process-31,3,355,355,364,9,9,0
Process-32,3,560,560,562,2,2,0
Process-33,3,460,460,463,3,3,0
Process-34,5,148,148,159,9,11,2
Process-35,1,239,239,245,6,6,0
Process-36,4,38,38,43,5,5,0
Process-37,5,273,273,298,5,25,20
Process-38,2,573,573,575,2,2,0
Process-39,3,59,59,70,7,11,4
Process-40,5,424,424,493,7,69,62
Process-41,1,431,431,440,9,9,0
Process-42,2,91,91,99,8,8,0
Process-43,2,214,214,224,8,10,2
Process-44,4,267,267,278,7,11,4
Process-45,2,444,444,452,8,8,0
Process-46,5,566,566,572,1,6,5
Process-47,1,166,166,171,5,5,0
Process-48,4,897,897,908,3,11,8
Process-49,2,464,464,474,10,10,0
Process-50,5,876,876,878,2,2,0
Process-51,3,246,246,264,5,18,13
Process-52,5,164,164,203,6,39,33
Process-53,2,949,949,951,2,2,0
Process-54,3,229,229,251,5,22,17
Process-55,2,393,393,399,6,6,0
Process-56,5,993,993,994,1,1,0
Process-57,4,970,970,982,5,12,7
Process-58,1,867,867,871,4,4,0
Process-59,5,115,115,125,10,10,0
Process-60,5,823,823,853,6,30,24
Process-61,4,314,314,321,7,7,0
Process-62,3,189,189,196,6,7,1
Process-63,2,590,590,597,7,7,0
Process-64,2,186,186,190,2,4,2
Process-65,3,365,365,369,4,4,0
Process-66,2,222,222,233,9,11,2
Process-67,2,419,419,427,8,8,0
Process-68,4,64,64,73,3,9,6
Process-69,1,434,434,444,4,10,6
Process-70,3,825,825,839,9,14,5
Process-71,4,187,187,200,4,13,9
Process-72,1,205,205,209,4,4,0
Process-73,5,957,957,968,7,11,4
Process-74,3,450,450,457,5,7,2
Process-75,4,283,283,292,9,9,0
Process-76,4,951,951,952,1,1,0
Process-77,4,405,405,429,7,24,17
Process-78,3,405,405,414,9,9,0
Process-79,4,581,581,582,1,1,0
Process-80,5,644,644,647,3,3,0
Process-81,1,253,253,261,8,8,0
Process-82,3,788,788,789,1,1,0
Process-83,2,896,896,905,9,9,0
Process-84,5,584,584,590,6,6,0
Process-85,4,818,818,820,2,2,0
Process-86,1,488,488,490,2,2,0
Process-87,2,98,98,105,6,7,1
Process-88,2,955,955,961,6,6,0
Process-89,3,73,73,79,6,6,0
Process-90,3,47,47,56,9,9,0
Process-91,4,733,733,734,1,1,0
Process-92,1,973,973,980,7,7,0
Process-93,4,227,227,271,7,44,37
Process-94,1,855,855,856,1,1,0
Process-95,3,683,683,701,9,18,9
Process-96,1,503,503,504,1,1,0
Process-97,2,773,773,778,5,5,0
Process-98,4,798,798,808,10,10,0
Process-99,2,204,204,216,5,12,7
Process-100,3,823,823,830,7,7,0
