Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks)
Process-1,5,296,296,299,1,3,2
Process-2,3,90,90,100,8,10,2
Process-3,4,623,623,629,6,6,0
Process-4,4,155,155,159,2,4,2
Process-5,2,932,932,939,7,7,0
Process-6,2,761,761,771,10,10,0
Process-7,1,685,685,701,9,16,7
Process-8,5,423,423,448,9,25,16
Process-9,5,491,491,494,1,3,2
Process-10,4,943,943,945,2,2,0
Process-11,4,345,345,348,3,3,0
Process-12,5,563,563,571,8,8,0
Process-13,1,614,614,622,8,8,0
Process-14,1,173,173,198,7,25,18
Process-15,4,382,382,388,6,6,0
Process-16,2,29,29,30,1,1,0
Process-17,1,206,206,223,3,17,14
Process-18,1,60,60,72,4,12,8
Process-19,4,506,506,515,9,9,0
Process-20,1,172,172,203,9,31,22
Process-21,4,843,843,855,4,12,8
Process-22,4,860,860,861,1,1,0
Process-23,4,472,472,489,7,17,10
Process-24,3,890,890,892,2,2,0
Process-25,3,632,632,638,6,6,0
Process-26,5,843,843,853,3,10,7
Process-27,4,903,903,914,6,11,5
Process-28,2,229,229,268,7,39,32
Process-29,5,178,178,206,7,28,21
Process-30,3,828,828,843,4,15,11
Process-31,3,355,355,364,9,9,0
Process-32,3,560,560,562,2,2,0
Process-33,3,460,460,476,3,16,13
Process-34,5,148,148,157,9,9,0
Process-35,1,239,239,270,6,31,25
Process-36,4,38,38,43,5,5,0
Process-37,5,273,273,288,5,15,10
Process-38,2,573,573,575,2,2,0
Process-39,3,59,59,68,7,9,2
Process-40,5,424,424,451,7,27,20
Process-41,1,431,431,470,9,39,30
Process-42,2,91,91,110,8,19,11
Process-43,2,214,214,236,8,22,14
Process-44,4,267,267,291,7,24,17
Process-45,2,444,444,473,8,29,21
Process-46,5,566,566,572,1,6,5
Process-47,1,166,166,177,5,11,6
Process-48,4,897,897,905,3,8,5
Process-49,2,464,464,491,10,27,17
Process-50,5,876,876,878,2,2,0
Process-51,3,246,246,271,5,25,20
Process-52,5,164,164,170,6,6,0
Process-53,2,949,949,951,2,2,0
Process-54,3,229,229,255,5,26,21
Process-55,2,393,393,399,6,6,0
Process-56,5,993,993,994,1,1,0
Process-57,4,970,970,975,5,5,0
Process-58,1,867,867,871,4,4,0
Process-59,5,115,115,125,10,10,0
Process-60,5,823,823,831,6,8,2
Process-61,4,314,314,321,7,7,0
Process-62,3,189,189,212,6,23,17
Process-63,2,590,590,597,7,7,0
Process-64,2,186,186,197,2,11,9
Process-65,3,365,365,369,4,4,0
Process-66,2,222,222,260,9,38,29
Process-67,2,419,419,435,8,16,8
Process-68,4,64,64,73,3,9,6
Process-69,1,434,434,455,4,21,17
Process-70,3,825,825,856,9,31,22
Process-71,4,187,187,205,4,18,14
Process-72,1,205,205,220,4,15,11
Process-73,5,957,957,968,7,11,4
Process-74,3,450,450,471,5,21,16
Process-75,4,283,283,298,9,15,6
Process-76,4,951,951,952,1,1,0
Process-77,4,405,405,416,7,11,4
Process-78,3,405,405,421,9,16,7
Process-79,4,581,581,582,1,1,0
Process-80,5,644,644,647,3,3,0
Process-81,1,253,253,285,8,32,24
Process-82,3,788,788,789,1,1,0
Process-83,2,896,896,910,9,14,5
Process-84,5,584,584,590,6,6,0
Process-85,4,818,818,820,2,2,0
Process-86,1,488,488,493,2,5,3
Process-87,2,98,98,112,6,14,8
Process-88,2,955,955,963,6,8,2
Process-89,3,73,73,79,6,6,0
Process-90,3,47,47,56,9,9,0
Process-91,4,733,733,734,1,1,0
Process-92,1,973,973,982,7,9,2
Process-93,4,227,227,263,7,36,29
Process-94,1,855,855,857,1,2,1
Process-95,3,683,683,696,9,13,4
Process-96,1,503,503,504,1,1,0
Process-97,2,773,773,778,5,5,0
Process-98,4,798,798,808,10,10,0
Process-99,2,204,204,224,5,20,15
Process-100,3,823,823,846,7,23,16
