Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-1,4,5458,5458,5466,8,8,0,7
Process-2,4,5187,5187,5190,3,3,0,2
Process-3,5,2103,2103,2112,9,9,0,8
Process-4,3,21,21,24,3,3,0,2
Process-5,2,1322,1322,1324,2,2,0,1
Process-6,3,4105,4105,4107,1,2,1,0
Process-7,5,3225,3225,3234,9,9,0,8
Process-8,5,5153,5153,5163,10,10,0,9
Process-9,1,4392,4392,4397,5,5,0,4
Process-10,5,1369,1369,1374,5,5,0,4
Process-11,2,2168,2168,2178,10,10,0,9
Process-12,2,2373,2373,2376,3,3,0,2
Process-13,4,2614,2614,2616,2,2,0,1
Process-14,1,4053,4053,4073,9,20,11,8
Process-15,1,2161,2161,2180,9,19,10,8
Process-16,2,5368,5368,5373,5,5,0,4
Process-17,5,2267,2267,2270,3,3,0,2
Process-18,4,2500,2500,2501,1,1,0,0
Process-19,1,4356,4356,4357,1,1,0,0
Process-20,1,1208,1208,1217,9,9,0,8
Process-21,1,3130,3130,3137,6,7,1,5
Process-22,2,1269,1269,1276,7,7,0,6
Process-23,3,3375,3375,3378,2,3,1,1
Process-24,3,4103,4103,4106,3,3,0,2
Process-25,2,165,165,173,3,8,5,2
Process-26,2,3565,3565,3571,6,6,0,5
Process-27,4,4054,4054,4063,9,9,0,8
Process-28,2,3544,3544,3551,6,7,1,5
Process-29,2,3641,3641,3650,9,9,0,8
Process-30,1,4739,4739,4747,8,8,0,7
Process-31,5,4169,4169,4170,1,1,0,0
Process-32,3,5036,5036,5041,5,5,0,4
Process-33,4,5133,5133,5137,4,4,0,3
Process-34,1,4943,4943,4946,3,3,0,2
Process-35,2,2716,2716,2720,4,4,0,3
Process-36,2,4708,4708,4716,7,8,1,6
Process-37,4,4350,4350,4353,3,3,0,2
Process-38,1,1756,1756,1759,3,3,0,2
Process-39,3,4541,4541,4545,4,4,0,3
Process-40,4,5085,5085,5092,7,7,0,6
Process-41,1,5476,5476,5484,8,8,0,7
Process-42,5,2751,2751,2760,9,9,0,8
Process-43,1,3722,3722,3732,10,10,0,9
Process-44,5,2246,2246,2256,10,10,0,9
Process-45,2,4385,4385,4388,3,3,0,2
Process-46,2,5341,5341,5344,3,3,0,2
Process-47,2,3544,3544,3545,1,1,0,0
Process-48,5,4268,4268,4278,10,10,0,9
Process-49,2,4922,4922,4926,4,4,0,3
Process-50,3,90,90,97,7,7,0,6
Process-51,1,953,953,958,5,5,0,4
Process-52,1,1699,1699,1706,7,7,0,6
Process-53,1,2245,2245,2277,6,32,26,5
Process-54,1,1929,1929,1935,6,6,0,5
Process-55,5,3465,3465,3472,7,7,0,6
Process-56,1,3354,3354,3359,2,5,3,1
Process-57,1,4207,4207,4214,7,7,0,6
Process-58,3,4948,4948,4955,7,7,0,6
Process-59,2,1538,1538,1546,8,8,0,7
Process-60,2,3375,3375,3391,9,16,7,8
Process-61,3,5053,5053,5060,7,7,0,6
Process-62,3,2457,2457,2465,8,8,0,7
Process-63,5,4983,4983,4990,7,7,0,6
Process-64,4,4618,4618,4626,8,8,0,7
Process-65,2,4704,4704,4709,5,5,0,4
Process-66,1,1349,1349,1357,3,8,5,2
Process-67,5,242,242,249,7,7,0,6
Process-68,4,5105,5105,5106,1,1,0,0
Process-69,3,374,374,384,10,10,0,9
Process-70,2,2252,2252,2266,10,14,4,9
Process-71,3,5485,5485,5493,8,8,0,7
Process-72,3,4612,4612,4629,9,17,8,8
Process-73,5,1874,1874,1879,5,5,0,4
Process-74,2,3373,3373,3382,4,9,5,3
Process-75,2,3771,3771,3780,9,9,0,8
Process-76,2,1503,1503,1511,8,8,0,7
Process-77,5,1799,1799,1808,9,9,0,8
Process-78,2,346,346,347,1,1,0,0
Process-79,3,1868,1868,1873,5,5,0,4
Process-80,2,1729,1729,1734,5,5,0,4
Process-81,4,1248,1248,1255,7,7,0,6
Process-82,5,4117,4117,4124,7,7,0,6
Process-83,5,1713,1713,1716,3,3,0,2
Process-84,5,3625,3625,3631,6,6,0,5
Process-85,4,4685,4685,4693,8,8,0,7
Process-86,5,2802,2802,2809,7,7,0,6
Process-87,5,3021,3021,3030,9,9,0,8
Process-88,2,2638,2638,2647,9,9,0,8
Process-89,5,812,812,817,5,5,0,4
Process-90,5,2120,2120,2128,8,8,0,7
Process-91,5,1974,1974,1985,7,11,4,6
Process-92,3,2949,2949,2954,5,5,0,4
Process-93,5,2070,2070,2077,7,7,0,6
Process-94,2,1258,1258,1261,3,3,0,2
Process-95,3,1461,1461,1469,8,8,0,7
Process-96,4,4031,4031,4038,7,7,0,6
Process-97,3,741,741,744,3,3,0,2
Process-98,1,3520,3520,3523,3,3,0,2
Process-99,5,5208,5208,5209,1,1,0,0
Process-100,5,218,218,225,7,7,0,6
Process-101,1,3284,3284,3290,6,6,0,5
Process-102,1,2109,2109,2113,1,4,3,0
Process-103,3,2219,2219,2223,4,4,0,3
Process-104,4,4811,4811,4812,1,1,0,0
Process-105,5,2569,2569,2574,5,5,0,4
Process-106,4,2921,2921,2930,6,9,3,5
Process-107,5,2239,2239,2243,4,4,0,3
Process-108,2,4177,4177,4178,1,1,0,0
Process-109,5,160,160,168,8,8,0,7
Process-110,4,2346,2346,2355,9,9,0,8
Process-111,5,4558,4558,4562,4,4,0,3
Process-112,5,3170,3170,3174,4,4,0,3
Process-113,3,3049,3049,3059,10,10,0,9
Process-114,4,1034,1034,1036,2,2,0,1
Process-115,5,496,496,501,5,5,0,4
Process-116,5,4851,4851,4852,1,1,0,0
Process-117,5,2387,2387,2390,3,3,0,2
Process-118,3,5064,5064,5069,5,5,0,4
Process-119,1,4181,4181,4184,3,3,0,2
